"","gndr","eisced","cntry","agea","nwspol","netustm","horas_internet","noticias_internet","trstplt","trstsci","happy","health"
"18782","Mujer","Grado Universitario","Serbia",40,9,120,2,0.15,1,3,5,4
"18783","Mujer","Formacion Profesional","Serbia",46,60,150,2.5,1,2,8,8,4
"18784","Hombre","Secundaria Superior","Serbia",60,120,NA,NA,2,0,10,0,3
"18785","Hombre","Master/Doctorado","Serbia",52,105,480,8,1.75,3,8,10,4
"18786","Hombre","Secundaria Superior","Serbia",90,105,120,2,1.75,0,3,8,4
"18787","Hombre","Grado Universitario","Serbia",73,120,NA,NA,2,7,9,9,3
"18788","Hombre","Secundaria Superior","Serbia",65,30,140,2.33,0.5,0,0,6,2
"18789","Mujer","Bachiller","Serbia",71,30,NA,NA,0.5,5,8,8,2
"18790","Mujer","Formacion Profesional","Serbia",64,58,539,8.98,0.97,0,5,7,3
"18791","Mujer","Grado Universitario","Serbia",47,29,360,6,0.48,0,7,8,3
"18792","Mujer","Bachiller","Serbia",41,9,300,5,0.15,2,9,5,3
"18793","Hombre","Secundaria Inferior","Serbia",37,150,NA,NA,2.5,3,5,7,4
"18794","Hombre","Bachiller","Serbia",40,60,120,2,1,0,9,5,3
"18795","Hombre","Secundaria Inferior","Serbia",16,180,120,2,3,10,10,6,5
"18796","Mujer","Formacion Profesional","Serbia",18,0,480,8,0,0,10,10,5
"18797","Hombre","Bachiller","Serbia",69,30,NA,NA,0.5,0,10,2,3
"18798","Hombre","Secundaria Superior","Serbia",30,150,80,1.33,2.5,5,5,0,3
"18799","Hombre","Bachiller","Serbia",24,90,420,7,1.5,0,9,4,4
"18800","Hombre","Grado Universitario","Serbia",23,70,360,6,1.17,3,7,5,5
"18801","Hombre","Bachiller","Serbia",61,60,NA,NA,1,5,10,8,3
"18802","Hombre","Formacion Profesional","Serbia",41,90,330,5.5,1.5,0,8,3,4
"18803","Mujer",NA,"Serbia",27,60,480,8,1,5,8,5,3
"18804","Hombre","Secundaria Superior","Serbia",65,90,NA,NA,1.5,2,9,5,4
"18805","Mujer","Secundaria Inferior","Serbia",57,90,NA,NA,1.5,4,6,4,3
"18806","Hombre","Secundaria Superior","Serbia",58,45,150,2.5,0.75,2,5,8,4
"18807","Mujer","Master/Doctorado","Serbia",72,90,90,1.5,1.5,4,8,8,4
"18808","Hombre","Grado Universitario","Serbia",39,30,120,2,0.5,0,4,5,5
"18809","Hombre","Secundaria Inferior","Serbia",58,150,120,2,2.5,5,3,NA,3
"18810","Mujer","Grado Universitario","Serbia",69,29,480,8,0.48,0,8,5,3
"18811","Mujer",NA,"Serbia",17,0,10,0.17,0,0,2,5,4
"18812","Hombre","Secundaria Superior","Serbia",57,30,NA,NA,0.5,0,6,2,4
"18813","Mujer","Bachiller","Serbia",21,0,1440,24,0,0,5,0,3
"18814","Hombre","Bachiller","Serbia",30,4,360,6,0.07,0,8,8,5
"18815","Mujer","Grado Universitario","Serbia",34,20,270,4.5,0.33,1,8,7,5
"18816","Mujer","Bachiller","Serbia",20,120,300,5,2,0,8,8,5
"18817","Hombre","Secundaria Superior","Serbia",49,10,240,4,0.17,0,10,5,5
"18818","Hombre","Bachiller","Serbia",22,15,600,10,0.25,9,9,8,5
"18819","Mujer","Bachiller","Serbia",39,30,300,5,0.5,0,2,1,3
"18820","Hombre","Secundaria Superior","Serbia",62,30,60,1,0.5,0,4,7,2
"18821","Mujer","Formacion Profesional","Serbia",65,60,240,4,1,5,7,7,3
"18822","Hombre","Secundaria Inferior","Serbia",17,30,210,3.5,0.5,3,6,5,4
